Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0333833	5.258	3.098	3.332	7.673	3.798	3.742
FBtr0433496	4.149	3.445	3.327	6.739	2.6	3.084
FBtr0304826	15.88	5.124	4.811	21.574	3.763	5.654
FBtr0433495	16.314	4.875	4.847	21.326	3.785	5.704
FBtr0433493	17.7	4.893	4.957	21.703	4.047	6.666
FBtr0300808	0	0	0	0.3	0	0
FBtr0300809	0.502	0	0	0.701	1.88	0.5
FBtr0301700	0.502	0	0	0.701	1.879	0.5
FBtr0072287	3116.871	1152	1247	3058	974	1089
FBtr0343633	209.629	106.388	135.518	499.23	484.175	197.215
FBtr0074281	3322.092	1253.24	1206.893	4217.264	802.882	1144.166
FBtr0343632	153.801	43.887	51.624	94.832	42.918	28.018
FBtr0074279	4537.959	1043.037	1306.418	4719.31	1098.686	1286.227
FBtr0074280	390.469	91.783	78.546	477.562	98.338	80.368
FBtr0072238	0	0	0	0	0	0
FBtr0308073	28.334	11.947	9.582	33.093	10.036	7.955
FBtr0082360	1128.265	397.067	426.061	941.917	322.948	391.25
FBtr0082361	42.401	0.986	1.356	6.99	6.016	13.795
FBtr0079938	92	30	46	62	23	30
FBtr0077227	3153.175	1438.387	1724.006	3240.686	1227.105	1481.961
FBtr0091702	265.825	61.613	77.804	161.314	54.895	50.039
FBtr0074882	429.888	260.844	379.044	502.065	239.355	249.033
FBtr0332153	441.958	66.403	69.406	430.468	69.126	57.721
FBtr0310476	87.953	99.42	56.103	209.298	91.15	91.121
FBtr0100666	427.277	132.808	177.724	433.79	123.501	150.214
FBtr0332726	86.925	62.683	43.723	188.242	57.868	61.911
FBtr0080287	287.899	103.061	197.953	430.502	101.447	121.095
FBtr0309307	3.566	1.544	2.581	6.012	4.549	2.582
FBtr0300898	1.45	0.456	0.419	2.078	2.451	0.419
FBtr0080024	223.759	57.322	72	228.487	42.197	50.18
FBtr0077389	3650.638	1510	1868	4187	1383	1476
FBtr0290204	0	0	0	0	0	0
FBtr0086689	395.563	177.602	122.319	364.263	101.577	179.659
FBtr0306636	762.048	130.576	166.275	404.545	71.8	91.367
FBtr0086687	1055.517	148.71	203.562	693.346	297.198	229.365
FBtr0086690	39.255	10.942	12.887	27.196	9.391	10.398
FBtr0086686	123.449	9.34	12.693	20.456	10.361	10.404
FBtr0340359	39.578	15.386	46.141	61.334	15.801	18.86
FBtr0301148	850.015	483.967	590.678	1756.507	378.546	496.22
FBtr0086684	15.405	2.1	3.108	2.846	2.266	1.567
FBtr0306637	46.984	21.18	22.271	55.567	14.944	17.653
FBtr0301149	61.186	7.195	24.067	78.94	13.115	16.506
FBtr0086600	132.506	23.333	6.882	138.195	35.198	51.106
FBtr0331978	489.117	153.667	199.118	385.805	114.802	119.894
FBtr0078769	27953	14644	16187	43192	13538	16591
FBtr0070712	29	12	10	36	10	12
FBtr0343263	3.037	0	0	1.026	0.263	0.675
FBtr0343264	0.738	0	0	1.753	0.244	0.788
FBtr0072024	0.746	0	0	1.855	0.243	0.797
FBtr0113111	0.695	0	0	1.367	0.25	0.74
FBtr0333452	10.907	9.699	5.291	14.042	7.08	3.79
FBtr0333450	8.792	4.498	3.952	12.143	3.682	2.42
FBtr0333451	13.008	4.433	3.903	11.641	3.64	2.403
FBtr0300831	14.293	4.37	3.854	11.174	3.598	2.387
FBtr0076303	32.983	14.744	11.465	14.211	23.632	11.188
FBtr0076302	29.571	14.473	10.921	31.398	16.261	23.518
FBtr0076301	2326.446	990.783	1321.613	1629.391	638.107	736.294
FBtr0077098	1656.652	688.17	774.203	1640.75	557.813	644.83
FBtr0070552	1.153	2	1	5.017	0	0
FBtr0075818	693	267	337	644	215	283
FBtr0088789	340	71	85	184	57	79
FBtr0304960	0	0	0	0	0	0
FBtr0075249	3	1	0	2	0	0
FBtr0084104	9396.891	2984.927	3398	8108	2415	2820
FBtr0336911	388.701	120.249	126.071	391.445	112.335	209.963
FBtr0088974	401.929	174.949	232.868	740.712	238.502	185.42
FBtr0100360	63.323	19.766	32.907	59.893	15.996	20.968
FBtr0110880	9.435	2.129	2.318	3.58	1.495	3.46
FBtr0334105	8.965	2.254	1.594	2.347	2.337	4.897
FBtr0301185	10.232	2.115	2.144	3.534	1.489	3.418
FBtr0110881	201.045	49.736	68.037	208.646	79.683	63.256
FBtr0336928	1.427	0.901	1.755	0.892	0	3.173
FBtr0072107	2.573	1.099	0.245	1.108	0	0.827
FBtr0085786	1384.052	375.42	456.796	601.567	255.683	238.286
FBtr0085785	23.606	22.261	22.254	40.302	22.978	22.88
FBtr0334549	72.479	52.015	42.774	153.068	28.72	23.491
FBtr0334550	16.993	15.304	14.176	32.373	12.619	11.413
FBtr0340191	709.482	220.887	232.011	413.592	278.863	335.746
FBtr0073848	4329.125	2026.113	2078.989	4978.408	1680.137	1831.11
FBtr0078387	833.254	232.836	250.62	684.229	209.479	194.549
FBtr0087487	602.759	225	241	555	208	240
FBtr0083735	6.745	2.805	2.844	7.069	0.702	0.986
FBtr0332539	10.277	3.202	3.258	11.072	0.711	1.014
FBtr0077790	0	0	0	0	0	0
FBtr0331440	0	0	0	0	0	0
FBtr0331439	0	0	0	0	0	0
FBtr0082634	536	245	271	539	201	199
FBtr0079612	258.388	68.545	70	191.178	54	58.174
FBtr0087980	3.466	0.498	0	2.039	0.274	0.001
FBtr0087979	0.536	0.502	0	0.561	0.267	0
FBtr0072044	0	0	0	0	0	0
FBtr0343206	0	0	0	0	0	0
FBtr0072043	0	0	0	0	0	0
FBtr0075225	0	0	0	3	1	0
FBtr0112489	79.209	21.714	29.543	75.799	16.88	26.152
FBtr0339263	25.333	0.378	3.457	7.05	0.12	4.02
FBtr0301018	106	14	26	77	25	21
FBtr0302526	60.885	14	13.398	67.231	13	16
FBtr0100009	389.053	155	179	440.105	103	139
FBtr0089901	24.13	9.292	13.464	11.765	16.17	19.716
FBtr0089902	17.32	4.575	3.714	3.527	5.555	7.211
FBtr0300562	429.622	93.88	79.82	244.093	91.82	59.071
FBtr0089900	20.583	8.243	6.518	5.007	5.256	6.843
FBtr0089904	131.362	11.768	12.391	17.58	9.41	9.886
FBtr0301521	222.609	19.471	24.292	28.447	14.434	15.614
FBtr0089905	114.375	12.772	29.801	226.581	39.355	29.659
FBtr0345390	137.076	30.296	20.86	39.881	30.491	30.253
FBtr0331425	163.489	100.432	112.422	71.167	43.377	30.885
FBtr0332155	582.693	108.86	166.526	362.376	53.109	51.375
FBtr0075014	43.742	44.412	46.433	30.576	40.023	25.488
FBtr0078874	0	0	0	0	0	1
FBtr0083452	811.069	216.182	315.57	657.022	284.572	247.436
FBtr0302317	745.142	370.818	321.43	897.978	302.428	368.564
FBtr0333248	1.951	0.992	0	3.773	0.992	1.952
FBtr0114524	2.049	1.008	0	4.227	1.008	2.048
FBtr0273385	167.086	40.518	43.029	316.044	77.528	89.224
FBtr0339307	92.13	44.335	61.763	266.398	69.889	65.848
FBtr0273384	181.049	129.147	143.208	430.822	190.583	146.929
FBtr0082117	128.942	101.226	81.244	264.888	149.75	122.228
FBtr0082116	420.959	74.356	55.347	410.185	100.662	104.77
FBtr0082118	232.603	89.418	98.426	457.938	133.684	105.937
FBtr0085011	1	4	1	1	0	1
FBtr0081174	25.02	14.124	13.709	20.169	8.176	8.966
FBtr0081175	29.735	17.053	14.508	28.767	9.098	10.183
FBtr0303241	71.212	25.841	28.927	70.875	18.166	21.578
FBtr0081176	43.535	18.295	18.27	26.866	9.371	10.527
FBtr0305129	1291.255	202.445	202.693	811.458	160.323	153.158
FBtr0339156	260.372	65.149	52.048	106.53	60.998	46.341
FBtr0339157	78.975	36.704	27.259	64.237	38.912	47.501
FBtr0071784	12.027	15.237	17.186	13.346	17.225	22.331
FBtr0071785	1597.076	764.805	841.814	2361.654	816.775	932.669
FBtr0089148	548.27	29.093	45.929	100.401	46.52	29.681
FBtr0089147	314.339	42.494	37.438	63.286	38.393	70.11
FBtr0089150	545.086	67	80.041	202.592	77.139	64.568
FBtr0089146	253.871	83.143	128.13	49.627	87.913	77.288
FBtr0308247	1505.315	326.49	309.71	1761.958	526.942	413.75
FBtr0089149	209.118	62.78	26.752	144.136	55.093	27.602
FBtr0302559	1.511	0	0.5	2.023	0	0
FBtr0346506	1.489	0	0.5	1.977	0	0
FBtr0302190	226.195	106.236	92.084	237.001	68.344	79.27
FBtr0086145	325.805	118.764	145.916	330.999	147.656	138.73
FBtr0306281	0	0	0	0	0	0
FBtr0306280	0	0	0	0	0	0
FBtr0306258	587.49	112.774	128.6	435.644	167.896	181.941
FBtr0073119	6574.214	2257.624	1987.128	5980.949	1387.821	1239.07
FBtr0073120	2475.474	2346.754	3060.096	307.986	1259.436	1278.36
FBtr0073118	18383.18	3133.977	2877.452	11334.014	1944.848	1645.174
FBtr0337055	876.374	399.875	436.575	640.341	378.453	328.794
FBtr0333895	559.039	1963.125	2369.027	379.444	1469.626	1745.242
FBtr0337056	301.792	93.872	91.122	1894.623	421.919	300.419
FBtr0077442	178	51	62	140	54	50
FBtr0076018	46.17	25.966	23.233	17.682	20.614	24.12
FBtr0076017	163.83	62.034	83.767	181.318	47.386	47.88
FBtr0339781	14.042	9.622	5.228	19.71	10.177	12.017
FBtr0070778	26.994	13.989	6.243	40.519	15.239	19.812
FBtr0344824	119.469	37.389	8.529	764.082	48.584	188.17
FBtr0345292	5815.709	69.704	91.387	18896.746	1197.38	71.388
FBtr0070983	87.995	123.435	61.257	95.952	101.546	28.272
FBtr0070982	102.69	13.966	13.913	83.625	11.288	13.931
FBtr0070981	828.66	457.054	540.809	794.18	479.142	665.569
FBtr0070980	35806.666	26511.841	30788.634	34159.491	22585.644	32834.841
FBtr0307300	1070.241	271.962	289.136	729.937	238.083	268.46
FBtr0113024	75.85	24.039	25.357	37.198	22.103	25.173
FBtr0332600	27.44	12.558	12.507	15.311	10.814	9.367
FBtr0083414	698.085	355.534	442.741	849.403	334.772	323.987
FBtr0337043	201.006	28.466	22.259	124.597	11.228	36.013
FBtr0077516	2	0	0	1	0	2
FBtr0112524	54.901	22	17.602	88.949	16.004	16.04
FBtr0089233	580.493	93.547	101.558	77.075	112.654	72.683
FBtr0334626	234.833	45.693	38.445	280.902	42.375	57.275
FBtr0310651	1380.186	181.792	189.672	530.063	226.025	234.533
FBtr0089229	992.488	323.969	366.324	2381.961	343.946	315.509
FBtr0082920	1	0	0	1	0	0
FBtr0077386	736.891	258.534	303.356	776.302	226	256
FBtr0071106	3	1	0	4	0	1
FBtr0070937	3490.379	1981.001	2348.348	3717.526	1230.261	1605.312
FBtr0070938	4675.838	1054.999	1165.652	4370	1416.739	1172.688
FBtr0070397	13	9	9	25	10	2
FBtr0074346	1	0	0	1	0	0
FBtr0071471	1.001	0	0.5	0.5	0	0.5
FBtr0330316	0.999	0	0.5	0.5	0	0.5
FBtr0074918	400.372	155.48	192.777	431.581	112	150.34
FBtr0072124	756.1	355	383.134	871.507	294	386
FBtr0071683	1274.157	618	699	1663	495	543
FBtr0077403	2.91	0.173	0.227	3.925	2.059	0.762
FBtr0113021	2.444	0.175	0.203	3.082	1.849	0.746
FBtr0077402	1.566	1.484	2.893	1.766	1.354	0.693
FBtr0077401	5.08	0.168	1.677	10.228	2.738	0.798
FBtr0300280	5	2	2	7	1	0
FBtr0346378	22.676	18.946	18.184	18.018	15.557	13.103
FBtr0074809	1392.556	742.718	815.57	966.23	430.356	463.819
FBtr0335137	31.349	15.65	23.246	23.056	19.087	15.489
FBtr0346141	8.641	3.805	0.002	1.892	3.661	0.003
FBtr0085611	63.359	11.195	18.998	39.108	23.339	10.997
FBtr0074029	5	1	0	2	0	0
FBtr0075388	6.742	1.02	0.826	4.707	0.826	1.102
FBtr0343534	11.456	1.232	2.174	6.482	2.174	0.898
FBtr0086001	6	6	7	5	2	1
FBtr0321315	0	0	0	0	0	0
FBtr0333037	101.259	22.802	22.915	104.607	42.785	27.535
FBtr0075724	225.983	40.74	41.337	276.796	64.587	58.923
FBtr0075723	52.758	20.458	41.748	76.598	16.628	27.542
FBtr0342770	273.201	282.698	364.852	440.367	291.744	278.395
FBtr0070420	4718.158	1958.842	1999.533	5585.782	2123.457	1962.524
FBtr0342771	146.641	80.459	119.615	153.85	115.799	84.081
FBtr0333323	323.707	19.807	20.752	42.045	22.04	16.066
FBtr0333322	153.183	19.238	9.177	26.901	18.939	23.289
FBtr0074137	125.648	64.638	84.934	113.705	76.01	70.044
FBtr0074135	2088.462	795.317	872.137	2893.35	751.011	901.601
FBtr0308136	2.092	0.47	0	0.678	0.626	0.47
FBtr0080237	0	0	0	0	0	0
FBtr0300638	1	0	1.579	0.917	1.579	0
FBtr0073729	557.154	149.971	160.264	415.186	138.014	135.171
FBtr0084836	316	123	117	354	83	114
FBtr0082430	4.549	14.381	4.914	4.827	13.618	5.2
FBtr0335211	541.637	194.619	254.086	495.826	111.382	164.8
FBtr0076857	16	9	7	12	2	9
FBtr0300424	28	7	7	33	6	0
FBtr0083860	199.515	65.88	65.851	120.061	59.087	18.619
FBtr0302327	3842.863	1651.668	2057.723	4573.657	1333.117	1763.906
FBtr0083861	659.664	140.452	96.426	512.281	156.796	173.475
FBtr0083086	458.098	227.417	242.358	458.232	134.592	187.892
FBtr0334589	125.09	37.583	28.636	95.364	53.94	31.222
FBtr0091874	16.701	0.36	7.848	0.254	7.364	4.669
FBtr0073935	2.586	0	0	3.742	0	0
FBtr0073300	0	0	0	0	0	0
FBtr0073299	0	0	0	0	0	0
FBtr0088841	71.441	21.983	16.012	91.146	20.954	20.568
FBtr0088842	1177.192	609.701	714.682	1318.989	479.609	609.115
FBtr0345599	1.521	0.21	0.958	5.604	1.763	2.564
FBtr0070422	1.85	0.203	1.042	4.329	2.237	3.89
FBtr0342772	0.311	1.84	0	0.119	0	0.059
FBtr0070421	10.318	3.773	1	3.958	1	0.118
FBtr0333023	3.313	0.917	3.442	9.925	0.917	1.266
FBtr0075579	1.854	1.083	2.558	1.078	1.083	1.734
FBtr0072248	2.042	0.333	0.871	2.634	0.333	1.422
FBtr0345620	2.895	0.334	1.546	3.55	0.334	0.29
FBtr0072247	3.063	0.333	1.583	3.816	0.333	0.289
FBtr0072253	33.721	4.127	3.181	41.546	2.89	15.466
FBtr0343432	615.397	243.148	285.921	657.103	177.152	207.987
FBtr0073127	3.463	1.495	2.975	1.99	0.998	2.484
FBtr0073128	3.537	1.505	3.025	2.01	1.002	2.516
FBtr0079458	0.125	0	0.03	2.287	0.053	0.046
FBtr0079460	17.164	10	13.452	19.819	10.618	8.43
FBtr0079462	0.125	0	1.064	1.188	0.053	0.045
FBtr0079461	1.268	1	1.064	2.292	0.053	0.045
FBtr0079459	18.318	9	11.39	26.414	3.223	8.433
FBtr0081997	484.602	194.059	309.81	855.016	303.816	421.9
FBtr0081996	21.967	10.229	17.535	57.813	30.237	9.18
FBtr0336761	221.431	113.711	80.654	175.171	86.947	65.92
FBtr0336637	1.887	0.553	1.117	0.692	1.102	1.38
FBtr0300693	1.018	0.179	0.388	0.12	0.6	0
FBtr0336636	2.28	0.552	1.093	0.902	1.899	1.337
FBtr0071797	2.091	0.55	2.402	11.175	1.774	1.283
FBtr0336638	0.724	0.167	0	0.11	0.625	0
FBtr0087382	3146.399	1272.865	1456.036	2404.399	836.568	829.924
FBtr0339998	104.895	101.069	101.764	103.829	119.177	97.076
FBtr0301478	1022.93	419.796	465.503	1262.311	528.157	526.128
FBtr0089521	603.41	171.36	191.664	181.361	110.038	187.519
FBtr0306351	63.922	28.288	44.435	76.326	15.569	34.929
FBtr0306350	122.802	47.922	43.354	264.658	36.038	49.05
FBtr0301477	104.935	40.634	20.044	102.403	50.197	35.373
FBtr0300224	1.857	0.44	0.202	1.372	0.217	0.643
FBtr0114515	1.884	1.94	1.42	1.433	0.215	0.649
FBtr0087406	1	0	0	0	0	0
FBtr0072888	0	1	0	0	0	0
FBtr0085859	0	3	2	1	4	4
FBtr0334894	6667.617	2029.708	2540.917	6478.195	2035.535	1833.158
FBtr0084460	760.455	526.487	277.591	730.258	329.692	522.627
FBtr0304567	177.927	286.805	267.491	1164.879	355.773	202.215
FBtr0070907	5161.91	2243.383	2489.474	6763.424	2398.089	2370.686
FBtr0070906	47.68	12.617	19.511	30.537	13.911	12.309
FBtr0305911	532.851	133.881	193.727	160.072	88.104	98.614
FBtr0289953	261.231	139.013	110.394	368.548	106.086	79.127
FBtr0305910	202.918	48.106	55.879	268.381	55.809	53.259
FBtr0088312	13.974	2.723	3.327	13.531	3.707	0.66
FBtr0088313	8.68	6.291	9.53	7.116	6.477	2.4
FBtr0088311	12.64	13.041	8.377	8.492	5.939	4.977
FBtr0304592	36.706	8.945	13.766	13.862	7.876	3.963
FBtr0088882	2239	1164	1367	2593	952	1132
FBtr0079894	831.875	220	418.157	1129.228	338.449	386.935
FBtr0331635	144.027	180.836	116.453	66.503	90.998	127.29
FBtr0345615	204.765	92.513	105.038	225.44	104.281	115.057
FBtr0071338	7224.001	3616.76	3997	10864	4894	4950
FBtr0334508	6.891	2.304	3.771	8.363	0.601	0.565
FBtr0085746	4.109	2.696	1.229	5.941	0.607	0.569
FBtr0085085	1679.927	968.091	1085.423	1024.096	373.863	437.229
FBtr0085084	172.073	7.909	12.577	35.904	8.137	1.771
FBtr0079304	1.004	0	0.001	2.003	0.003	1
FBtr0079732	0	0	1	0	0	0
FBtr0071108	23.761	88.524	253.095	27.288	65.022	228.178
FBtr0340139	52.497	69.439	67.007	44.101	38.128	63.905
FBtr0071107	2424.429	996.665	1051.109	3193.771	1049.206	917.323
FBtr0340138	424.428	50.33	56.79	276.769	74.596	75.531
FBtr0309839	55.38	49.022	48.903	48.647	48.889	49.102
FBtr0309836	60.773	53.134	53.013	52.754	52.988	53.223
FBtr0309837	1569.812	87.219	74.069	1692.419	207.959	113.381
FBtr0073144	9714.011	4391.365	5231.534	10117.18	4455.233	4516.019
